Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths",Tpye 
Senegal,12/10/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,12/10/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Spain,12/11/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,12/11/2015,0,0,4,4,0,0,1,1,Ebola
Nigeria,12/11/2015,0,1,19,20,0,1,7,8,Ebola
Senegal,12/11/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,12/11/2015,0,453,3351,3804,,453,2083,2536,Ebola
Mali,12/11/2015,0,1,7,8,,,,6,Ebola
United Kingdom,12/11/2015,0,0,1,1,,,,0,Ebola
Liberia,12/11/2015,,,9,9,,,3,3,Ebola
Italy,12/11/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,12/11/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Liberia,12/11/2015,5636,1879,3151,10666,,,,4806,Ebola
Sierra Leone,12/15/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
United States of America,12/15/2015,0,0,4,4,0,0,1,1,Ebola
Mali,12/15/2015,0,1,7,8,,,,6,Ebola
Spain,12/15/2015,0,0,1,1,0,0,0,0,Ebola
Italy,12/15/2015,0,0,1,1,,,,0,Ebola
Guinea,12/15/2015,3,453,3351,3807,,453,2083,2536,Ebola
Senegal,12/15/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,12/15/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,12/15/2015,,,9,9,,,3,3,Ebola
United Kingdom,12/15/2015,0,0,1,1,,,,0,Ebola
Liberia,12/15/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,12/16/2015,0,0,1,1,0,0,0,0,Ebola
Mali,12/16/2015,0,1,7,8,,,,6,Ebola
Guinea,12/16/2015,3,453,3351,3807,,453,2083,2536,Ebola
United Kingdom,12/16/2015,0,0,1,1,,,,0,Ebola
Italy,12/16/2015,0,0,1,1,,,,0,Ebola
United States of America,12/16/2015,0,0,4,4,0,0,1,1,Ebola
Nigeria,12/16/2015,0,1,19,20,0,1,7,8,Ebola
Senegal,12/16/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,12/16/2015,5636,1879,3151,10666,,,,4806,Ebola
Sierra Leone,12/16/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Liberia,12/16/2015,,,9,9,,,3,3,Ebola
Liberia,12/17/2015,,,9,9,,,3,3,Ebola
Nigeria,12/17/2015,0,1,19,20,0,1,7,8,Ebola
Spain,12/17/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,12/17/2015,5636,1879,3151,10666,,,,4806,Ebola
Mali,12/17/2015,0,1,7,8,,,,6,Ebola
United Kingdom,12/17/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,12/17/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Guinea,12/17/2015,1,453,3351,3805,,453,2083,2536,Ebola
Italy,12/17/2015,0,0,1,1,,,,0,Ebola
Senegal,12/17/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,12/17/2015,0,0,4,4,0,0,1,1,Ebola
Nigeria,12/22/2015,0,1,19,20,0,1,7,8,Ebola
Guinea,12/22/2015,0,453,3351,3804,,453,2083,2536,Ebola
Senegal,12/22/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,12/22/2015,,,9,9,,,3,3,Ebola
Spain,12/22/2015,0,0,1,1,0,0,0,0,Ebola
Mali,12/22/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,12/22/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
United Kingdom,12/22/2015,0,0,1,1,,,,0,Ebola
Italy,12/22/2015,0,0,1,1,,,,0,Ebola
United States of America,12/22/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,12/22/2015,5636,1879,3151,10666,,,,4806,Ebola
United Kingdom,12/23/2015,0,0,1,1,,,,0,Ebola
Italy,12/23/2015,0,0,1,1,,,,0,Ebola
Guinea,12/23/2015,0,453,3351,3804,,453,2083,2536,Ebola
Senegal,12/23/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,12/23/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,12/23/2015,0,0,1,1,0,0,0,0,Ebola
Mali,12/23/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,12/23/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Liberia,12/23/2015,,,9,9,,,3,3,Ebola
Nigeria,12/23/2015,0,1,19,20,0,1,7,8,Ebola
United States of America,12/23/2015,0,0,4,4,0,0,1,1,Ebola
United Kingdom,12/29/2015,0,0,1,1,,,,0,Ebola
Italy,12/29/2015,0,0,1,1,,,,0,Ebola
Spain,12/29/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,12/29/2015,5636,1879,3151,10666,,,,4806,Ebola
Liberia,12/29/2015,,,9,9,,,3,3,Ebola
Sierra Leone,12/29/2015,5131,287,8704,14122,158,208,3589,3955,Ebola
Mali,12/29/2015,0,1,7,8,,,,6,Ebola
Guinea,12/29/2015,0,453,3351,3804,,453,2083,2536,Ebola
United States of America,12/29/2015,0,0,4,4,0,0,1,1,Ebola
Nigeria,12/29/2015,0,1,19,20,0,1,7,8,Ebola
Senegal,12/29/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,3/23/2016,0,453,3351,3804,,453,2083,2536,Ebola
Spain,3/23/2016,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,3/23/2016,5131,287,8704,14122,158,208,3589,3955,Ebola
Senegal,3/23/2016,0,0,1,1,0,0,0,0,Ebola
Mali,3/23/2016,0,1,7,8,,,,6,Ebola
United Kingdom,3/23/2016,0,0,1,1,,,,0,Ebola
Liberia,3/23/2016,,,9,9,,,3,3,Ebola
Liberia,3/23/2016,5636,1879,3151,10666,,,,4806,Ebola
Italy,3/23/2016,0,0,1,1,,,,0,Ebola
Liberia,3/23/2016,0,3,2,5,,3,1,4,Ebola
Nigeria,3/23/2016,0,1,19,20,0,1,7,8,Ebola
United States of America,3/23/2016,0,0,4,4,0,0,1,1,Ebola
